,peak_time,amplitude,inter_event_interval,condition
274,32.0072,-41.50622729715979,0.17830000000000013,pre_drug
275,32.1855,-85.08959363506371,0.3078000000000003,pre_drug
276,32.4933,-80.88624770209209,0.14440000000000452,pre_drug
277,32.6377,-36.89508306648801,0.08220000000000027,pre_drug
278,32.7199,-41.332899495916784,0.07689999999999486,pre_drug
279,32.7968,-48.123692345352886,0.036599999999999966,pre_drug
280,32.8334,-94.47386136124018,0.11610000000000298,pre_drug
281,32.9495,-58.75694475038998,0.12480000000000047,pre_drug
282,33.0743,-37.84655743597558,0.28479999999999706,pre_drug
283,33.3591,-144.78563770882806,0.05310000000000059,pre_drug
284,33.4122,-27.616543977192496,0.2711000000000041,pre_drug
285,33.6833,-36.65703295788015,0.11309999999999576,pre_drug
286,33.7964,-71.45976966366885,0.057900000000003615,pre_drug
287,33.8543,-44.74148966022041,0.0519999999999996,pre_drug
288,33.9063,-52.05756236021136,0.10529999999999973,pre_drug
289,34.0116,-69.5140572900078,0.03640000000000043,pre_drug
290,34.048,-51.33570472468436,0.0706999999999951,pre_drug
291,34.1187,-38.65073655474727,0.1121000000000052,pre_drug
292,34.2308,-27.334044229951015,0.21750000000000114,pre_drug
293,34.4483,-63.37091450529458,0.2459999999999951,pre_drug
294,34.6943,-56.9007947967257,0.10320000000000107,pre_drug
295,34.7975,-48.030530397092896,0.10719999999999885,pre_drug
296,34.9047,-36.6084248971278,0.11460000000000292,pre_drug
297,35.0193,-104.60767118517514,0.21179999999999666,pre_drug
298,35.2311,-66.20112733656606,0.13920000000000243,pre_drug
299,35.3703,-41.48852282872812,0.35430000000000206,pre_drug
300,35.7246,-73.4466901944039,0.10470000000000113,pre_drug
301,35.8293,-54.2515120894668,0.06969999999999743,pre_drug
302,35.899,-38.92401758721999,0.1706000000000003,pre_drug
303,36.0696,-59.907068903434904,0.09899999999999665,pre_drug
304,36.1686,-59.56008464632926,0.27200000000000557,pre_drug
305,36.4406,-143.2316305193291,0.23589999999999378,pre_drug
306,36.6765,-56.122312884970164,0.0613000000000028,pre_drug
307,36.7378,-77.67041598529553,0.14099999999999824,pre_drug
308,36.8788,-105.77422800143712,0.23389999999999844,pre_drug
309,37.1127,-21.716904304345036,0.2266000000000048,pre_drug
310,37.3393,-77.26702225751806,0.03059999999999974,pre_drug
311,37.3699,-59.822753735960504,0.07529999999999859,pre_drug
312,37.4452,-54.942613010851595,0.043199999999998795,pre_drug
313,37.4884,-27.882061196564777,0.05420000000000158,pre_drug
314,37.5426,-44.41905497057051,0.09969999999999857,pre_drug
315,37.6423,-62.30666986903804,0.10260000000000247,pre_drug
316,37.7449,-60.268222414381405,0.03219999999999601,pre_drug
317,37.7771,-37.581947855672226,0.036000000000001364,pre_drug
318,37.8131,-54.625295351064466,0.15810000000000457,pre_drug
319,37.9712,-36.468062060285284,0.18259999999999366,pre_drug
320,38.1538,-54.634485544035435,0.07200000000000273,pre_drug
321,38.2258,-96.883710365846,0.036000000000001364,pre_drug
322,38.2618,-23.595116451291986,0.07520000000000238,pre_drug
323,38.337,-78.40380618061288,0.034799999999997056,pre_drug
324,38.3718,-21.649180086769025,0.05590000000000117,pre_drug
325,38.4277,-70.56135964321578,0.198599999999999,pre_drug
326,38.6263,-36.863339060210684,0.20649999999999835,pre_drug
327,38.8328,-58.28120767663142,0.31560000000000343,pre_drug
328,39.1484,-126.71544911099191,0.06550000000000011,pre_drug
